status	scope	path	decision	evidence
M	web	autobyteus-web/components/mobile/__tests__/MobileContextSelectionRegression.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/mobile/__tests__/MobileTeamMessages.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/mobile/__tests__/MobileUxRefinement.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/config/__tests__/RunConfigPanel.spec.ts	Needs Update / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/config/__tests__/TeamRunConfigForm.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/history/__tests__/HistoricalTeamLazyHydration.integration.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/history/__tests__/WorkspaceAgentRunsTreePanel.regressions.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/history/__tests__/WorkspaceAgentRunsTreePanel.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/history/__tests__/WorkspaceHistoryWorkspaceSection.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/running/__tests__/RunningTeamRow.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/team/__tests__/AgentTeamEventMonitor.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/team/__tests__/TeamCommunicationPanel.spec.ts	Needs Re-review / Revalidated	web-current.log
D	web	autobyteus-web/components/workspace/team/__tests__/TeamDelegatedTasksSection.current-contract.spec.ts	Stale / Remove	web-current.log
M	web	autobyteus-web/components/workspace/team/__tests__/TeamDelegatedTasksSection.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/team/__tests__/TeamFocusSendWorkflow.spec.ts	Needs Re-review / Revalidated	web-current.log
D	web	autobyteus-web/components/workspace/team/__tests__/TeamOverviewPanel.current-task-visibility.spec.ts	Stale / Remove	web-current.log
M	web	autobyteus-web/components/workspace/team/__tests__/TeamOverviewPanel.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/workspace/team/__tests__/TeamWorkspaceView.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/composables/__tests__/useWorkspaceHistorySelectionActions.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/composables/__tests__/useWorkspaceHistoryTreeState.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/composables/mobile/__tests__/useMobileFocusedRunIdentity.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/composables/mobile/__tests__/useMobileWorkCatalog.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/graphql/queries/__tests__/runHistoryQueries.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/services/agentStreaming/__tests__/TeamStreamingService.execution-address.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/services/agentStreaming/__tests__/TeamStreamingService.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/services/agentStreaming/__tests__/currentTaskExecutionFixture.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/services/agentStreaming/__tests__/teamStreamMemberContextResolver.spec.ts	Needs Re-review / Revalidated	web-current.log
D	web	autobyteus-web/services/agentStreaming/__tests__/teamTaskExecutionEventRouter.spec.ts	Stale / Remove	web-current.log
M	web	autobyteus-web/services/agentStreaming/__tests__/teamTaskTeamExecutionProjection.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/services/runHydration/__tests__/taskDelegationGraphqlDtoProjection.spec.ts	Needs Re-review / Revalidated	web-current.log
A	web	autobyteus-web/services/runHydration/__tests__/teamCommunicationHydrationService.spec.ts	Add Durable Coverage / Revalidated	team-communication-hydration-service.log; team-communication-mobile-focused.log; web-current.log
M	web	autobyteus-web/services/runHydration/__tests__/teamRunContextHydrationService.spec.ts	Needs Re-review / Revalidated	web-current.log
D	web	autobyteus-web/services/runOpen/__tests__/teamRunOpenCoordinator.primeOwnership.spec.ts	Stale / Remove	web-current.log
M	web	autobyteus-web/services/runOpen/__tests__/teamRunOpenCoordinator.spec.ts	Needs Re-review / Revalidated	web-current.log
A	web	autobyteus-web/services/teamExecution/__tests__/teamExecutionState.task-lifecycle.spec.ts	Add Durable Coverage / Revalidated	web-current.log
M	web	autobyteus-web/services/workspace/__tests__/workspaceNavigationService.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/agentTeamContextsStore.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/agentTeamRunStore.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/mobileWorkStore.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/runHistoryMetadata.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/runHistoryNavigationProjection.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/runHistoryStore.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/runHistoryTeamExecutionRows.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/runHistoryTeamMemberProjectionHydrator.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/runHistoryTeamRows.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/teamCommunicationStore.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/stores/__tests__/teamRunConfigStore.spec.ts	Needs Update / Revalidated	web-current.log
A	web	autobyteus-web/test-support/currentTeamTestFixtures.ts	Add Durable Coverage / Revalidated	web-current.log
M	web	autobyteus-web/utils/__tests__/teamActiveExecutionMembers.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/utils/__tests__/teamDelegatedTaskEntries.spec.ts	Needs Re-review / Revalidated	web-current.log
D	web	autobyteus-web/utils/__tests__/teamDelegatedTaskLiveVisibility.spec.ts	Stale / Remove	web-current.log
M	web	autobyteus-web/utils/__tests__/teamRunConfigUtils.spec.ts	Needs Re-review / Revalidated	web-current.log
