CRR-012 changed implementation-source size audit: 44 files
 500 effective |  18 delta (+9/-9) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-platform/launch-configuration/application-launch-configuration-service.ts
 146 effective |  20 delta (+19/-1) | size=PASS | delta=PASS | autobyteus-server-ts/src/services/agent-streaming/agent-run-event-message-mapper.ts
 124 effective |  13 delta (+11/-2) | size=PASS | delta=PASS | autobyteus-web/services/agentStreaming/protocol/messageParser.ts
 119 effective |  14 delta (+13/-1) | size=PASS | delta=PASS | autobyteus-server-ts/src/services/agent-streaming/team-agent-event-websocket-projector.ts
 112 effective |   2 delta (+1/-1) | size=PASS | delta=PASS | autobyteus-web/services/runSubmission/localUserSubmission.ts
 111 effective |   9 delta (+8/-1) | size=PASS | delta=PASS | autobyteus-server-ts/src/agent-team-execution/domain/team-agent-event.ts
 108 effective |   5 delta (+4/-1) | size=PASS | delta=PASS | autobyteus-web/types/segments.ts
  96 effective |   9 delta (+8/-1) | size=PASS | delta=PASS | autobyteus-web/services/agentStreaming/teamStreamDtoAdapters.ts
  95 effective |   4 delta (+2/-2) | size=PASS | delta=PASS | autobyteus-ts/src/llm/api/grok-llm.ts
  69 effective |  76 delta (+76/-0) | size=PASS | delta=PASS | autobyteus-ts/src/llm/errors/provider-error.ts
  63 effective |  67 delta (+67/-0) | size=PASS | delta=PASS | autobyteus-ts/src/llm/utils/token-pricing-schedule.ts
  61 effective |  10 delta (+3/-7) | size=PASS | delta=PASS | autobyteus-ts/src/utils/gemini-model-mapping.ts
  60 effective |   2 delta (+1/-1) | size=PASS | delta=PASS | autobyteus-ts/src/agent/pipelines/llm-response-pipeline.ts
  58 effective |  17 delta (+15/-2) | size=PASS | delta=PASS | autobyteus-server-ts/src/secret-management/resolution/secret-management-provider-api-key-resolver.ts
  58 effective |   4 delta (+4/-0) | size=PASS | delta=PASS | autobyteus-server-ts/src/token-usage/pricing/token-pricing-policy.ts
  57 effective |  21 delta (+14/-7) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-agent-streaming/services/application-agent-stream-event-projector.ts
  53 effective |  37 delta (+14/-23) | size=PASS | delta=PASS | autobyteus-ts/src/llm/api/glm-llm.ts
  52 effective |  55 delta (+55/-0) | size=PASS | delta=PASS | autobyteus-ts/src/llm/model-pricing-types.ts
  46 effective | 119 delta (+16/-103) | size=PASS | delta=PASS | autobyteus-ts/src/llm/api/kimi-llm.ts
  36 effective |  37 delta (+37/-0) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-platform/launch-configuration/application-current-model-selection-guard.ts
  31 effective |  35 delta (+35/-0) | size=PASS | delta=PASS | autobyteus-server-ts/src/application-platform/launch-configuration/application-current-model-selection-policy.ts
  19 effective |   1 delta (+1/-0) | size=PASS | delta=PASS | autobyteus-ts/src/llm/index.ts
   9 effective |  10 delta (+10/-0) | size=PASS | delta=PASS | autobyteus-ts/src/secrets/provider-api-key-error.ts
   9 effective |  10 delta (+10/-0) | size=PASS | delta=PASS | autobyteus-ts/src/llm/current-model-selection-error.ts
   3 effective |   1 delta (+1/-0) | size=PASS | delta=PASS | autobyteus-ts/src/secrets/index.ts
RESULT: PASS — every changed implementation-source file is <=500 effective lines and <=220 changed lines.
